고위험학교명,고위험_시도교육청,고위험_지역,고위험_학생수,고위험_위기확률,고위험_위도,고위험_경도,고위험_운영비,고위험_1인당운영비,고위험_일반직수,고위험_시군구,후보순위,후보학교명,후보_위도,후보_경도,후보_시군구,직선거리_km,도로거리_km,소요시간_분,초등_운영비,중학교_운영비,운영비_합산,초등_일반직수,중학교_일반직수,일반직_합산,같은시군구,거리점수,운영비점수,일반직점수,시군구점수,종합점수
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,1,대방중학교,35.21041285,128.7062908,창원시,1.289,1.882,3.3,935131780.0,2392720300.0,3327852080.0,4.0,5.0,9.0,False,0.3866,0.9576,1.0,0.0,0.644
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,2,웅남중학교,35.21622905,128.6889637,창원시,0.663,2.135,4.2,935131780.0,2289620110.0,3224751890.0,4.0,5.0,9.0,False,0.3041,0.9279,1.0,0.0,0.6036
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,3,남산중학교,35.2039882,128.6983379,창원시,0.95,1.229,2.5,935131780.0,1772393870.0,2707525650.0,4.0,2.0,6.0,False,0.5994,0.7791,0.6667,0.0,0.6012
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,4,창원상남중학교,35.21474025,128.6843651,창원시,0.826,1.938,4.2,935131780.0,2033718400.0,2968850180.0,4.0,4.0,8.0,False,0.3683,0.8543,0.8889,0.0,0.5831
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,5,사파중학교,35.21896417,128.7005664,창원시,1.185,2.14,3.2,935131780.0,2540164080.0,3475295860.0,4.0,3.0,7.0,False,0.3025,1.0,0.7778,0.0,0.5654
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,6,안남중학교,35.20557657,128.7080778,창원시,1.564,2.318,4.3,935131780.0,2366357620.0,3301489400.0,4.0,2.0,6.0,False,0.2445,0.95,0.6667,0.0,0.5019
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,7,토월중학교,35.22366263,128.6888018,창원시,1.456,2.317,3.0,935131780.0,1455816120.0,2390947900.0,4.0,3.0,7.0,False,0.2448,0.688,0.7778,0.0,0.4644
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,8,삼정자중학교,35.20123356,128.7121935,창원시,2.114,2.836,5.2,935131780.0,2140893140.0,3076024920.0,4.0,3.0,7.0,False,0.0756,0.8851,0.7778,0.0,0.446
남정초등학교,경상남도교육청,경상남도 합천군,31,0.6994179,35.21084962,128.6921158,935131780.0,30165541.0,4.0,합천군,9,신월중학교,35.22860169,128.6935418,창원시,1.978,3.068,5.1,935131780.0,1754569390.0,2689701170.0,4.0,3.0,7.0,False,0.0,0.7739,0.7778,0.0,0.3879
남포초등학교,경상남도교육청,경상남도 통영시,14,0.72131735,34.82440195,128.4324231,734907490.0,52493392.0,3.0,통영시,1,통영중학교,34.82796442,128.4159456,통영시,1.555,2.216,2.7,734907490.0,2388647390.0,3123554880.0,3.0,2.0,5.0,True,0.4238,0.9931,1.0,1.0,0.7678
